message_shortname,image,direct_to_nurse,english,hindi,hindi_male,hindi_female,Hindi Translations 
1_1_6_qa_suckslowly_yes,,,That is great! Sucking slowly means that the milk is flowing quickly which is a good thing. If the baby is sucking very fast it means that the milk flow has either reduced and if it continues it means that it is not happening properly. It might be a good idea to check with your AWW [AWW name] once!,यह बहुत बढ़िया बात है! धीरे-धीरे चूसने का मतलब है कि दूध जल्दी बह रहा है जो अच्छी बात है। यदि बच्चा बहुत तेजी से चूस रहा है तो इसका मतलब है कि दूध का प्रवाह या तो कम हो गया है और यदि यह जारी है तो इसका मतलब है कि दूध पीना ठीक से नहीं हो रहा है। एक बार अपने आंगनवाड़ी कार्यकर्ता  [AWW नाम] के साथ जांचना एक अच्छा विचार हो सकता है!,,,
1_1_6_qa_suckslowly_no,,,Pay attention! If the baby is sucking very fast it means that the milk flow has either reduced and if it continues it means that it is not happening properly. It might be a good idea to check with your AWW [AWW name] once!,ध्यान दें! यदि बच्चा बहुत तेजी से चूस रहा है तो इसका मतलब है कि दूध का प्रवाह या तो कम हो गया है और यदि यह जारी है तो इसका मतलब है कि दूध पीना ठीक से नहीं हो रहा है। एक बार अपने आंगनवाड़ी कार्यकर्ता [AWW नाम] के साथ जांचना एक अच्छा विचार हो सकता है!,,,
1_1_6_qa_infant_tiresout,,,Does the infant tires out in between and is unable to continue for a long time? Type 1 for yes and 2 for no.,क्या शिशु बीच-बीच में थक जाता है और लंबे समय तक दूध पीना जारी नहीं रह पाता है? 1) हाँ 2) नहीं,,,
1_1_6_infant_tiresout_yes,,,"Be careful! If this happens, it might mean that [child name] is sick or about to get sick. You should get her/him checked by your AWW and if necessary consult a doctor!","सावधान रहे! यदि ऐसा होता है, तो इसका मतलब हो सकता है कि [child name] बीमार है या बीमार होने वाला है। आपको उसे अपने आंगनवाड़ी कार्यकर्ता द्वारा जांच करवाना चाहिए और यदि आवश्यक हो तो डॉक्टर से परामर्श करना चाहिए!",,"सावधान रहे! यदि ऐसा होता है, तो इसका मतलब हो सकता है कि [बच्चे का नाम] बीमार है या बीमार होने   वाली है। आपको उसे अपने आंगनवाड़ी कार्यकर्ता द्वारा जांच करवाना चाहिए और यदि आवश्यक हो तो डॉक्टर से परामर्श करना चाहिए!",
1_1_6_infant_tiresout_no,,,"Good to know that’s not the case! That should not happen and if it does, it might mean that [child name] is sick or about to get sick. You should get her/him checked by your AWW and if necessary consult a doctor!","यह जानकर अच्छा लगा कि ऐसा नहीं हो रहा है! ऐसा नहीं होना चाहिए और अगर ऐसा होता है, तो इसका मतलब हो सकता है कि [बच्चे का नाम] बीमार है या बीमार होने वाला है। आपको उसे अपने आंगनवाड़ी कार्यकर्ता द्वारा जांच करवाना चाहिए और यदि आवश्यक हो तो डॉक्टर से परामर्श करना चाहिए!",,"यह जानकर अच्छा लगा कि ऐसा नहीं हो रहा है! ऐसा नहीं होना चाहिए और अगर ऐसा होता है, तो इसका मतलब हो सकता है कि [बच्चे का नाम] बीमार है या बीमार होने वाली  है। आपको उसे अपने आंगनवाड़ी कार्यकर्ता द्वारा जांच करवाना चाहिए और यदि आवश्यक हो तो डॉक्टर से परामर्श करना चाहिए!",
1_1_6_swallow_pause,,,"Does the infant suckles slowly, followed by swallowing and then pausing? Type 1 for yes and 2 for no.","क्या शिशु धीरे-धीरे चूसता है, उसके बाद निगलता है और फिर रुकता है? 1) हाँ 2) नहीं",,,
1_1_6_swallow_pause_yes,,,"Great! The baby can feed only small amounts at a time, because her/his stomach is small. Therefore it is a good practice if they suckle slowly, swallow the same and resume feeding after some pause.","बहुत अच्छा! बच्चा एक बार में केवल छोटी मात्रा में भोजन कर सकता है, क्योंकि उसका पेट छोटा है। इसलिए यदि वे धीरे-धीरे चूसते हैं, उसी को निगलते हैं और कुछ ठहराव के बाद दूध पीना फिर से शुरू करते हैं तो वह सही तकनीक है। ",,,
1_1_6_swallow_pause_no,,,"You should pay attention to this! The baby can feed only small amounts at a time, because her/his stomach is small. Therefore it is a good practice if they suckle slowly, swallow it and resume feeding after some pause. If that's not happening then [child name] might vomit out the milk she/he drinks.","आपको इस पर ध्यान देना चाहिए! बच्चे को एक बार में केवल थोड़ी मात्रा ही खिला सकते हैं, क्योंकि बच्चे का पेट छोटा है। इसलिए यदि वे धीरे-धीरे चूसते हैं, उसी को निगलते हैं और कुछ ठहराव के बाद दूध पीना फिर से शुरू करते हैं तो वह सही तकनीक है। यदि अभी ऐसा नहीं हो रहा है, तो [child name] ने जो दूध पिया है वो उसे उल्टी कर सकता है/ सकती है और इससे अन्य समस्याएं भी हो सकती हैं।","आपको इस पर ध्यान देना चाहिए! बच्चे को एक बार में केवल थोड़ी मात्रा ही खिला सकते हैं, क्योंकि बच्चे का पेट छोटा है। इसलिए यदि वे धीरे-धीरे चूसते हैं, उसी को निगलते हैं और कुछ ठहराव के बाद दूध पीना फिर से शुरू करते हैं तो वह सही तकनीक है। यदि अभी ऐसा नहीं हो रहा है, तो [child name] ने जो दूध पिया है वो उसे उल्टी कर सकती है और इससे अन्य समस्याएं भी हो सकती हैं।","आपको इस पर ध्यान देना चाहिए! बच्चे को एक बार में केवल थोड़ी मात्रा ही खिला सकते हैं, क्योंकि बच्चे का पेट छोटा है। इसलिए यदि वे धीरे-धीरे चूसते हैं, उसी को निगलते हैं और कुछ ठहराव के बाद दूध पीना फिर से शुरू करते हैं तो वह सही तकनीक है। यदि अभी ऐसा नहीं हो रहा है, तो [बच्चे का नाम] ने जो दूध पिया है वो उसे उल्टी कर  सकती है और इससे अन्य समस्याएं भी हो सकती हैं।",
1_1_7_vom,,,"Does [child name] sometimes vomit out the milk after they breastfeed? It is important that after every time you breastfeed your child, you make them burp by softy patting on their back. Child’s body is small and therefore there is little gap between the stomach and the food pipe, which is why if the milk does not reach the stomach and is not digested, the child vomits it out. If the problem continues you should consult your AWW! 
","क्या [child name] कभी-कभी स्तनपान कराने के बाद दूध को उल्टी कर देता है? यह महत्वपूर्ण है कि हर बार जब आप अपने बच्चे को स्तनपान कराते हैं, तो आप उन्हें ले और उनकी पीठ पर हल्के से थपथपाकर उन्हें डकार दिलवाएं। बच्चे का शरीर छोटा होता है और इसलिए पेट और भोजन नली के बीच बहुत कम अंतर होता है, यही वजह है कि अगर दूध पेट में नहीं पहुंचता है और पचता नहीं है, तो बच्चे को उल्टी हो जाती है। यदि समस्या बनी रहती है तो आपको अपने आंगनवाड़ी कार्यकर्ता से परामर्श करना चाहिए!",,"क्या [बच्चे का नाम] कभी-कभी स्तनपान कराने के बाद दूध को उल्टी कर देती  है? यह महत्वपूर्ण है कि हर बार जब आप अपने बच्चे को स्तनपान कराते हैं, तो आप उन्हें ले और उनकी पीठ पर हल्के से थपथपाकर उन्हें डकार दिलवाएं। बच्चे का शरीर छोटा होता है और इसलिए पेट और भोजन नली के बीच बहुत कम अंतर होता है, यही वजह है कि अगर दूध पेट में नहीं पहुंचता है और पचता नहीं है, तो बच्चे को उल्टी हो जाती है। यदि समस्या बनी रहती है तो आपको अपने आंगनवाड़ी कार्यकर्ता से परामर्श करना चाहिए!",
1_1_8_ques,,yes,Pease tell me what question do you have on breastfeeding?,आपके पास स्तनपान से सम्बंधित क्या प्रश्न है कृपया मुझे बताएं? ,,,
1_2_act,,,"❔ Is [child name] active when they're awake?
Type 1 for yes and 2 for no.","❔ क्या [child name] फुर्तीला/क्रियाशील है जब वे जाग रहे हैं?
दबाएँ:
1) हाँ
2) नहीं ","❔ क्या [child name]  फुर्तीला /क्रियाशील है जब  वह जाग रहा  हैं?
दबाएँ:
1) हाँ
2) नही","❔ क्या [बच्चे का नाम]  फुर्तीली  /क्रियाशील है जब  वह जाग रही हैं?
दबाएँ:
1) हाँ
2) नही",
1_2_1_yes,,,"It's great to hear that [child name] is active. This is a sign of a healthy baby 👶🏽😊! If you start to notice any changes in [child name]'s activity, pay careful attention to their diet and hygiene to make sure they are getting the nutrients they need. ","यह सुनकर बहुत अच्छा लगा कि [child name] फुर्तीला/क्रियाशील है। यह एक स्वस्थ बच्चे का संकेत है 👶🏽😊! अगर आपको [child name] की गतिविधि में कोई बदलाव नज़र आने लगे, तो अपने आहार और स्वच्छता पर ध्यान दें और सुनिश्चित करें कि उन्हें वे पोषक तत्व मिल रहे हैं जिनकी उन्हें ज़रूरत है।",,,
1_2_2_no,,,"This can be a danger sign if [child name] is too inactive. If you think something is very wrong with him/her, you may want to contact [AWW name]. Here’s her number, in case you don’t have it: [AWW phone number]. 
→ In the meantime, you can pay careful attention to [child name]'s diet and hygiene to make sure they are getting the nutrients they need.","यह एक खतरे का संकेत हो सकता है अगर [child name] बहुत निष्क्रिय है। यदि आपको लगता है कि उसके साथ कुछ गलत है, तो आप आंगनवाड़ी कार्यकर्ता  [AWW नाम] से संपर्क कर  सकते हैं। यहाँ उनका नंबर है: [AWW फोन नंबर], अगर आपके पास नहीं है। ।
→ इस बीच, आप [बच्चे का नाम] के आहार और स्वच्छता पर ध्यान दे सकते हैं ताकि यह सुनिश्चित किया जा सके कि उन्हें वे पोषक तत्व मिल रहे हैं जो उसे चाहिए। ",,,
1_3_cf,,,"Congratulations that your child is now over 6 months old! Complementary feeding is extremely important for the growth of your child. Here's a list of things I can provide information on. Press the desired n. of the topic you want information on: 
1) When to begin complementary feeding 
2) What does complementary feeding mean 
3) Child having trouble adjusting to complementary food
4) Energy density of infant food 
5) Importance of nutrients for the growth of the child 
","बधाई कि आपका बच्चा अब 6 महीने से अधिक का है! ऊपरी आहार आपके बच्चे के विकास के लिए अत्यंत महत्वपूर्ण है। यहां उन चीजों की एक सूची दी गई है जिन पर मैं जानकारी प्रदान कर सकता हूं। कृपया उस विषय की संख्या दर्ज करें जिस पर आप जानकारी चाहते हैं।
1) कब से ऊपरी आहार शुरू करें 
2) ऊपरी आहार का मतलब क्या है 
3) बच्चे को ऊपरी आहार देने में अगर परेशानी हो रही है 
4) शिशु आहार में मौजूद ऊर्जा की मात्रा
5) बच्चे के विकास के लिए पोषक तत्वों का महत्व",,,
1_3_1_begincf,,,"Once a child crosses 6 months of age, one must start giving them food in addition to breastmilk so that their body can meet its nutritional needs. This is because children become increasingly active and grow a lot after six months of age 👶🏽.  [child name] is now over 6 months old, she/he should be complementary fed! You should give complementary food at least 3-4 times for children below 8 months old and 5-6 times for children over 8 months.","एक बार जब कोई बच्चा 6 महीने की उम्र पार कर जाता है, तो उन्हें स्तनपान कराने के अलावा उन्हें भोजन देना शुरू कर देना चाहिए ताकि उनका शरीर अपनी पोषण संबंधी जरूरतों को पूरा कर सके👶🏽।इसका कारण यह है कि बच्चे तेजी से सक्रिय हो जाते हैं और छह महीने की उम्र के बाद बहुत बढ़ जाते हैं। [बच्चे का नाम] अब 6 महीने से अधिक का है, उसे ऊपरी खिलाया जाना चाहिए! आपको 8 महीने से कम उम्र के बच्चों को कम से कम 3-4 बार और 8 महीने से अधिक उम्र के बच्चों के लिए 5-6 बार भोजन देना चाहिए। ",,,
1_3_2_cfmeaning,,,"Complementary feeding does not mean that [child name] is ready for all the food that an adult can consume. Infants and young children require softer food such as cereal porridge or a chapati that has been soaked in milk and mashed. As they get older, you can start introducing traditional foods such as khichdi or dalia that are modified for the child’s requirements 👶🏽.There are lots of ideas I’d like to share with you that can help you prepare food that is appropriate for [child name]. 
","ऊपरी आहार का मतलब यह नहीं होता है कि [बच्चे का नाम] वो सब खा सकता है जो खाना सभी के लिए बनाया गया है या  जिस खाने को एक वयस्क व्यक्ति खा सकता है। नवजात शिशुओं और छोटे बच्चों को पतला पतला अनाज-दलिया या दूध में भिगोई हुई और मसली हुई रोटी जैसे नर्म आहार की जरूरत होती है। जैसे जैसे वो बड़े होते है, तो आप उनकी जरूरत के हिसाब से उन्हें खिचड़ी या दलिया जैसे परंपरागत आहार को बदल-बदल कर दे सकते है। मैं आपके साथ ऐसे ही कुछ तरीके बाँट सकती हूँ जो आपको भोजन तैयार करने में मदद कर सकते हैं जो की [child name] के लिए उपयुक्त है।
",,"ऊपरी आहार का मतलब यह नहीं होता है कि [बच्चे का नाम] वो सब खा सकती है जो खाना सभी के लिए बनाया गया है या  जिस खाने को एक वयस्क व्यक्ति खा सकता है। नवजात शिशुओं और छोटे बच्चों को पतला पतला अनाज-दलिया या दूध में भिगोई हुई और मसली हुई रोटी जैसे नर्म आहार की जरूरत होती है। जैसे जैसे वो बड़े होते है, तो आप उनकी जरूरत के हिसाब से उन्हें खिचड़ी या दलिया जैसे परंपरागत आहार को बदल-बदल कर दे सकते है। मैं आपके साथ ऐसे ही कुछ तरीके बाँट सकती हूँ जो आपको भोजन तैयार करने में मदद कर सकते हैं जो की [child name] के लिए उपयुक्त है।
",
1_3_3_cfajustment,,,"Since you recently began feeding her/him food, it takes some time for them to develop a taste for the same. Here are some quick tips that can help you with complementary feeding:
→ Try giving [child name] food from different groups so that they build a taste for all types of food.
→ Make repeated efforts to feed children different types of food. [child name] might vomit out the food sometimes but that does not mean that you stop complementary feeding since it is very important! 
","जैसा कि आपने हाल ही में उसे ऊपरी आहार देना शुरू किया है तो उसे इस आहार के स्वाद को अपनाने में थोड़ा समय लगेगा। यहाँ कुछ छोटी छोटी टिप्स/उपाय बताए गए हैं जो ऊपरी आहार के बारे में आपके लिए मददगार साबित होंगे:
→ [child name] को अलग अलग तरह के आहार देने का प्रयास करें ताकि वह धीरे धीरे उन सभी को खाना सीख सके!
→ बच्चों को तरह तरह का आहार खिलाने की कोशिश करें। हो सकता है कि कभी-कभी उन्हें उल्टी हो जाय पर इसका ये मतलब नहीं कि आप उनको ऊपरी आहार जोकि बहुत ही जरूरी है, देना बंद कर दें! 
",,,
1_3_4_energydensity,,,"It’s important to feed your child energy-dense foods so they have the nutrients they need to remain healthy.
You can increase the energy density of foods by adding the following to their meals:
→ Add a teaspoon of oil or ghee to each of the child’s meals during feedings
→ Add sugar or jaggery to the child’s meals
→ Feed the child malted foods
→ Feed children thick mixtures
→ The most important thing to take care of is that whatever you feed [child name] should be that the food is very soft and not spicy.  
→ Introduce variety one by one, once the [child name] starts eating one kind of simple food. 
","बच्चे के अच्छे स्वास्थ्य के लिए यह बहुत ही जरुरी हो जाता है कि उसे जो आहार दिया जाये उसमें सभी  पोषक तत्त्व मौजूद होने के साथ साथ ऊर्जा भी अधिक मात्रा में हो।
आप आहार में नीचे दिए गए खाद्य पदार्थों को मिलाकर ऊर्जा की मात्रा को बढ़ा सकते हैं:
→ बच्चे को आहार खिलाने से पहले उसके खाने में एक छोटा चम्मच तेल या घी मिलाये।
→ मिक्सचर में चीनी या गुड़ मिलाए और इसे अच्छे से हिलाये।
→ बच्चे के  खाने में चीनी या गुड़ मिला दें।
→ बच्चे को गाढ़े मिक्सचर खिलाएं।
→ इसमें सबसे जरुरी बात जोकि आपको ध्यान में रखनी है वो ये है कि आप [बच्चे का नाम] को जो कुछ भी खिलाये वो बहुत ही नर्म और बिना मसाले वाला होना चाहिए।  
→ एक बार अगर [child name] साधारण आहार खाना शुरू कर दें तो धीरे धीरे एक एक करके आप उसे दूसरी तरह के भी आहार देना शुरू कर सकती हैं 
",,,
1_3_5_importantnutrients,,,"Different kinds of nutrients in food are important for: 
Growth - the bones grow in length, muscles develop and all organs inside the body become larger
Learning - For the development of the brain as well, every type of nutrient is needed, and any deficit leads to slow learning.
Activity - Without adequate activity, neither growth nor learning can be adequate. Activity needs a lot of energy, and a lot of the carbohydrate and fat is used up for this.
Fighting against infections- As the child grows up in the first two years, she falls ill often, with fever, diarrhea, or cold and cough. For her body to learn to fight infections, she needs a variety of different nutrients in her diet. Absence of sufficient nutrition can prolong her illnesses; she can lose weight and fall seriously ill.
","आहार में मौजूद कई तरह के पोषक तत्त्व जो इसके लिए बहुत ही जरुरी होते है : 
वृद्धि -हड्डियों और मांसपेशियों की वृद्धि और विकास विकास और शरीर के अंदर के सभी अंगों का विकास
सीखना - दिमाग के विकास के लिए भी हर तरह के पोषक तत्त्व की जरूरत होती है और इनमें किसी भी तरह की कमी होने पर बच्चे की सोचने समझने की क्षमता पर बुरा असर पड़ता है।
क्रियाकलाप/गतिविधि- बिना किसी क्रियाकलाप/ गतिविधि के ना तो बच्चे के शरीर की सही वृद्धि हो सकती है और ना ही उसके दिमाग का उचित विकास। क्रियाकलाप करने के लिए बहुत अधिक ऊर्जा की जरूरत होती है और इसके लिए बच्चे के आहार में कार्बोहाईड्रेड और वसा जरूर शामिल करने चाहिए।
रोगों/संक्रमण से लड़ने की क्षमता - शुरूआती 2 वर्षों में जब बच्चा बड़ा होता है तो उसे बुखार,डायरिया या सर्दी और खाँसी हो जाती है। रोगों/संक्रमण से लड़ने के लिए उसके आहार में सभी पोषक तत्त्वों को शामिल करना बहुत ही जरूरी है। रोगों/संक्रमण से लड़ने के लिए उसके आहार में सभी पोषक तत्त्वों को शामिल करना बहुत ही जरूरी है। 
",,,
1_4_cfrecipes,,,"It is always great to feed your child different kinds of food items when you begin complementary feeding. Some of the recipes I can share with you are given below. It will also be helpful to take a quick quiz on the kind of food you’re feeding [child name]. Press enter the number of the topic you want information on: 
1) Porridge 
2) Fresh fruits 
3) Traditional foods 
4) Modified family food 
5) Instant infant food 
6) Protective food 
7) Q & A on food items 
","जब आप ऊपरी भोजन शुरू करते हैं तो अपने बच्चे को विभिन्न प्रकार के खाद्य पदार्थों को खिलाना हमेशा बहुत अच्छा होता है। कुछ व्यंजनों की विधि नीचे दी गई हैं। इसमें एक प्रश्न उत्तर का भाग भी है जोह आपको जानकारी देने में काफी लाभदायक होगा की [child name] को क्या खिला रहे हैं और क्या खिलाना अच्छा होगा। उस विषय की संख्या दर्ज करें जिसे आप जानकारी चाहते हैं:
1) दलिया बनाने की विधि 
२) ताजे फल जो खाने को दिए जा सकते हैं 
3) परंपरागत आहार जो शिशु खा सकते हैं 
4) परिवार में खाये जाने वाले व्यंजनों में बदलाव 
5) तुरंत बनने वाला शिशु आहार 
6) सुरक्षात्मक भोजन
7) खाद्य पदार्थों पर प्रश्नोत्तर",a,,
1_4_1_porridge,,,"Cereals such as suji, atta, and ragi make a great base for porridge. Each of these cereals can be mixed with jaggery, a little fat, and boiled water or a little bit of milk to create a porridge. Start with a thin porridge when the child first starts complementary feeding and increase the thickness as [child name] gets older.
","दलिया
→ सूजी, आटा और रागी जैसे अनाज दलिया का सबसे बेहतर स्रोत है। इनमें से किसी भी अनाज को गुड़,थोड़ा सा तेल/घी/मक्खन और उबले हुए पानी या थोड़े से दूध के साथ मिलाकर आसानी से दलिया बनाया जा सकता है। शुरुआत में बच्चे को ऊपरी आहार के तौर पर पतला पतला दलिया दें और जैसे जैसे [child name]  बड़ा होता जाये तो दलिये को गाढ़ा बनाना शुरू कर दें।
",,,
1_4_2_fruits,,,"Soft fruits like bananas, papayas, and chikoo can be mashed and fed to the child
","ताज़ा फल
→ नर्म फल, जैसे केला, पपीता और चीकू बच्चे को मसल कर खिलाये जा सकते हैं।
",,,
1_4_3_traditionalfoods,,,"Once the child is comfortable eating porridge, mixed foods can be served to the child as a great source of nutrients and energy.
→ Mashed idlis can be mixed with sugar and oil to increase the energy content of the food for the child
→ You can add one or two vegetables to khichdi while cooking it to increase the nutritional value of this food for the child
→ Add daal to bhaaji while it is cooking to increase the nutritious value of the food for your child
","परंपरागत आहार
→ एक बार अगर बच्चा दलिया आराम से खाने का आदी हो जाये तो धीरे धीरे उसको दूसरे मिश्रित आहार भी दिए जा सकते हैं, क्योंकि ये आहार पोषण और ऊर्जा का सबसे बढ़िया स्रोत होते हैं।
→ बच्चे के लिए मसली हुई इडली में चीनी और तेल डाल से इसमें मौजूद ऊर्जा शक्ति को बढ़ाया जा सकता है।
→बच्चे के लिए खिचड़ी बनाते समय आप इसमें एक या दो सब्जियां डालकर इसे और अधिक पौष्टिक बना सकते है।
→ अपने बच्चे के लिए भाजी बनाते समय इसमें थोड़ी सी दाल डाल दें ऐसा करने से ये और भी ज्यादा पौष्टिक बन जाती है।
",,,
1_4_4_familyfood,,,"→ Children can also eat vegetables and pulses that are consumed by the rest of the family. However, since the child is still young, spices should not be added to their food.
→ Before adding spices, remove a small portion of the vegetables or pulses from the rest of the dish and kept aside.
→ Using the reserved vegetables or pulses, add a little bit of oil and then mash the food so it easy for the child to eat. You can combine the mashed food with rice or a chapati that has been soaked in milk or water and mashed.
","पारिवारिक आहार में बदलाव
→ बच्चें भी सब्जियां और दालें खाते हैं, जोकि परिवार के बाकी लोग भी खाते हैं। क्योंकि बच्चा अभी छोटा है इसलिए उसके खाने में मसाले ना डालें।
→ मसाले डालने से पहले, थोड़ी सी सब्जी या दाल उसके लिए अलग निकालकर रख दें।
→ संरक्षित की गई सब्जियों या दालों के इस्तेमाल करने पर इसमें थोड़ा सा तेल डालें और फिर इसे अच्छे से मसलकर बच्चे को दें ताकि वह आसानी से इसे खा सके। आप दूध में भिगोई और मसले हुए चावल या रोटी को मसले हुए आहार के साथ मिलाकर दें सकते हैं।
",,,
