message_shortname,image,english,english revised,hindi
1_3_6_fre,,"Breastfeeding throughout the day and at night-- whenever [child name] is hungry-- helps to ensure that they get the nutrients they need 🤱🏽. The baby’s stomach is small. Therefore the baby should be fed frequently on demand—at least 8 — 12 times in 24 hours, day and night—in order to be adequately nourished. As soon as [child name] turns six months old, you can start feeding them complementary foods in addition to breastmilk. But remember-- for now, breastmilk is all they need! 😊🤱🏽","Breastfeeding throughout the day and at night-- whenever [child name] is hungry-- helps to ensure that they get the nutrients they need 🤱🏽. The baby’s stomach is small. Therefore the baby should be fed frequently on demand—at least 8 — 12 times in 24 hours, day and night—in order to be adequately nourished. As soon as [child name] turns six months old, you can start feeding them complementary foods in addition to breastmilk. But remember-- up until the first 6 months from birth, breastmilk is all they need! 😊🤱🏽",
1_3_7_qa_suckslowly,,"Does the infant suck slowly? 
1) yes 
2) no",,
1_3_7_qa_suckslowly_yes,,That is great! Sucking slowly means that the milk is flowing quickly which is a good thing. If the baby is sucking very fast it means that the milk flow has either reduced and if it continues it means that it is not happening properly. It might be a good idea to check with your AWW [name] once!,,
1_3_7_qa_suckslowly_no,,Pay attention! If the baby is sucking very fast it means that the milk flow has either reduced and if it continues it means that it is not happening properly. It might be a good idea to check with your AWW [name] once!,,
1_3_7_qa_infant_tiresout,,Does the infant tires out in between and is unable to continue for a long time? 1) yes 2) no,,
1_3_7_infant_tiresout_yes,,"Be careful! If this happens, it might mean that [child’s name] is sick or about to get sick. You should get her/him checked by your AWW and if necessary consult a doctor!",,
1_3_7_infant_tiresout_no,,"Good to know that’s not the case! That should not happen and if does,  it might mean that [child’s name] is sick or about to get sick. You should get her/him checked by your AWW and if necessary consult a doctor!","Good to know that’s not the case! That should not happen and if does,  it might mean that [child’s name] is sick or about to get sick. You should get her/him checked by your AWW and if necessary consult a doctor!",
1_3_7_swallow_pause,,"Does the infant suckles slowly, followed by swallowing and then pausing? 1) yes 2) no",,
1_3_7_swallow_pause_yes,,"Great! The baby can feed only small amounts at a time, because her/his stomach is small. Therefore it is a good practice if they suckle slowly, swallow the same and resume feeding after some pause.",,
1_3_7_swallow_pause_no,,"You should pay attention to this! The baby can feed only small amounts at a time, because her/his stomach is small. Therefore it is a good practice if they suckle slowly, swallow the same and resume feeding after some pause. If the same is not happening right now then [child’s name] might vomit out the milk she/he drinks and there might be other problems as well.","You should pay attention to this! The baby can feed only small amounts at a time, because the baby's stomach is small. Therefore it is a good practice if they suckle slowly, swallow the same and resume feeding after some pause. If the same is not happening right now then [child’s name] might vomit out the milk she/he drinks and there might be other problems as well.",
1_3_8_vom,,"Does [child’s name] sometimes vomit out the milk after they breastfeed? It is important that after every time you breastfeed your child, you take them and make them burp by softy patting on their back. Child’s body is small and therefore there is little gap between the stomach and the food pipe, which is why if the milk does not reach the stomach and is not digested, the child vomits it out. If the problem continues you should consult your AWW! 
",,
1_3_9_ques,,<revert to the nurse>,<revert to the nurse>,
1_4_awwmenu,,"Your AWW plays an important role in maintaining and improving the nutrition status of your child. We can talk about: 
1) List of services provided by the AWW
2) AWW interaction
3) Services received from AWC
4) Periodic growth monitoring 
5) Topic you want to discuss with the AWW","Your AWW plays an important role in maintaining and improving the nutrition status of your child. We can talk about: 
1) The last time you’re AWW visited you
2) Services received from AWC
3) Periodic growth monitoring 
4) Topic you want to discuss with the AWW
",
1_4_1_awwservices,,"Some of the services your AWW can provide you with are as follows:
- Nutrition and health education
- Non- Formal Pre School Education (NEPSE)
- Supplementary Nutrition
- Growth monitoring and promotion
- Family welfare services
She also coordinates in arranging immunization camps and health check up camps. Her  functions also include community survey and enlisting beneficiaries, primary health care and first aid, referral services to severely malnourished, sick and at risk children, enlisting community support for Anganwadi functions, organizing women’s groups and Mahila Mandals, school enrolment of children and maintenance of records and registers.
",,
1_4_2_awwvisit,,"When was the last time the AWW visited you in your home?
1.Yesterday
2.In the last week 
3. In the last month 
4. In the last 3 months
5. Never 
","When was the last time the AWW visited you in your home?
1.Yesterday
2.In the last week 
3. In the last month 
4. In the last 3 months
5. Never 
",
1_4_2_123_time,,"How long did the AWW spend with you in your home?
1)Less than 15 mins
2)15 mins to an hour
3)More than 1 hour
","How long did the AWW spend with you in your home?
1)Less than 15 mins
2)15 mins to an hour
3)More than 1 hour
",
1_4_2_45_ty,,Thank you for telling me!,Thank you for telling me!,
1_4_2_123_time_sat,,Were you satisfied with the home-visit you received? Press 1 for Yes and 2 for No. ,Were you satisfied with the home-visit you received? Press 1 for Yes and 2 for No. ,
1_4_2_123_time_sat_yes,,Great! Can you tell me what you liked about the last home-visit you received?,Great! Can you tell me what you liked about the last home-visit you received?,
1_4_2_123_time_sat_no,,"Thanks for letting me know! Can you tell me what can be improved about the last home-visit you received?
","Thanks for letting me know! Can you tell me what can be improved about the last home-visit you received?
",
1_4_2_123_time_sat_topic,,"Thank you! Which topic did the AWW chat with you about? Please write the number in front of all topics from below that she discussed with you.
1. Birth preparedness
2. Mother’s diet
3. Breastfeeding
4. Complementary feeding
5. Hygiene & Sanitation
6. Family Planning
7. Other
","Thank you! Which topic did the AWW chat with you about? Please write the number in front of all topics from below that she discussed with you.
1. Birth preparedness
2. Mother’s diet
3. Breastfeeding
4. Complementary feeding
5. Hygiene & Sanitation
6. Family Planning
7. Other
",
1_4_3_awwservicesreceived ,,"Let’s talk about the services you have received from your AWW. 
Have you/your child received supplementary nutrition (including THR and cooked meals) from the AWC in the past year?
1) Yes
2) No","Let’s talk about the services you have received from your AWW. 
Have you/your child received supplementary nutrition (including THR and cooked meals) from the AWC in the past year?
1) Yes
2) No",
1_4_3_sn_n,,Thank you for telling!,Thank you for telling!,
1_4_3_sn_sat,,"Were you satisfied with the services you received for supplementary nutrition?
1)Yes
2)No
","Were you satisfied with the services you received for supplementary nutrition?
1)Yes
2)No
",
1_4_3_sn_sat_y,,"Great! Can you tell us what you liked about the services you received?
","Great! Can you tell us what you liked about the services you received?
",
1_4_3_sn_sat_n,,"Okay! Can you tell us what can be improved about the services that you received?
","Okay! Can you tell us what can be improved about the services that you received?
",
1_4_3_imm,,"Have you/your child received immunization services from the AWC in the past year?
1) Yes
2) No","Have you/your child received immunization services from the AWC in the past year?
1) Yes
2) No",
1_4_3_imm_n,,Thank you for telling!,Thank you for telling!,
1_4_3_imm_sat,,"Were you satisfied with the services you received for immunization?
1)Yes
2)No
","Were you satisfied with the services you received for immunization?
1)Yes
2)No
",
1_4_3_imm_sat_y,,"Great! Can you tell us what you liked about the services you received?
","Great! Can you tell us what you liked about the services you received?
",
1_4_3_imm_sat_n,,"Okay! Can you tell us what can be improved about the services that you received?
","Okay! Can you tell us what can be improved about the services that you received?
",
1_4_3_pedu,,"Have you/your child received pre-school education services from the AWC in the past year?
1) Yes
2) No","Have you/your child received pre-school education services from the AWC in the past year?
1) Yes
2) No",
1_4_3_pedu_n,,Thank you for telling!,Thank you for telling!,
1_4_3_pedu_sat,,"Were you satisfied with the services you received for pre-school education?
1)Yes
2)No
","Were you satisfied with the services you received for pre-school education?
1)Yes
2)No
",
1_4_3_pedu_sat_y,,"Great! Can you tell us what you liked about the services you received?
","Great! Can you tell us what you liked about the services you received?
",
1_4_3_pedu_sat_n,,"Okay! Can you tell us what can be improved about the services that you received?
","Okay! Can you tell us what can be improved about the services that you received?
",
1_4_3_ref,,"Have you/your child received referral services from the AWC in the past year?
1) Yes
2) No","Have you/your child received referral services from the AWC in the past year?
1) Yes
2) No",
1_4_3_ref_n,,Thank you for telling!,Thank you for telling!,
1_4_3_ref_sat,,"Were you satisfied with the services you received for referral?
1)Yes
2)No
","Were you satisfied with the services you received for referral?
1)Yes
2)No
",
1_4_3_ref_sat_y,,"Great! Can you tell us what you liked about the services you received?
","Great! Can you tell us what you liked about the services you received?
",
1_4_3_ref_sat_n,,"Okay! Can you tell us what can be improved about the services that you received?
","Okay! Can you tell us what can be improved about the services that you received?
",
1_4_3_nhedu,,"Have you/your child received nutrition and health education services from the AWC in the past year?
1) Yes
2) No","Have you/your child received nutrition and health education services from the AWC in the past year?
1) Yes
2) No",
1_4_3_nhedu_n,,Thank you for telling!,Thank you for telling!,
1_4_3_nhedu_sat,,"Were you satisfied with the services you received for nutrition and health education?
1)Yes
2)No
","Were you satisfied with the services you received for nutrition and health education?
1)Yes
2)No
",
1_4_3_nhedu_sat_y,,"Great! Can you tell us what you liked about the services you received?
","Great! Can you tell us what you liked about the services you received?
",
1_4_3_nhedu_sat_n,,"Okay! Can you tell us what can be improved about the services that you received?
","Okay! Can you tell us what can be improved about the services that you received?
",
1_4_3_ty,,Thank you for answering these questions related to AWC service delivery!,Thank you for answering these questions related to AWC service delivery!,
1_4_4_pgm,,"When was the last time that [child’s name]’s height was recorded?
1) Beginning of this month
2) Last month
3) Can’t remember
","When was the last time that [child’s name]’s height was recorded?
1) Beginning of this month
2) Last month
3) Can’t remember
",
1_4_4_12_h,,"That’s great! Periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
","That’s great! Periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
",
1_4_4_3_h,," It’s okay! But remember that periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
"," It’s okay! But remember that periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
",
1_4_4_pgm_w,,"   When was the last time that [child’s name]’s weight was recorded?
   1.   Beginning of this month
   2.   Last month
   3.  Can’t remember
","   When was the last time that [child’s name]’s weight was recorded?
   1.   Beginning of this month
   2.   Last month
   3.  Can’t remember
",
1_4_4_12_w,,"That’s great! Periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
","That’s great! Periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
",
1_4_4_3_w,," It’s okay! But remember that periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
"," It’s okay! But remember that periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
",
1_4_5_info,,"The next time that the AWW comes to your home, what would you like to discuss with her?
1) Birth preparedness
2) Mother’s diet
3) Breastfeeding
4) Complementary feeding
5) Hygiene & Sanitation
6) Family Planning
7) Other
","The next time that the AWW comes to your home, what would you like to discuss with her?
1) Birth preparedness
2) Mother’s diet
3) Breastfeeding
4) Complementary feeding
5) Hygiene & Sanitation
6) Family Planning
7) Other
",
1_4_5_123456,,Thank you for letting me know! ,Thank you for letting me know! ,
1_4_5_7_other ,,Please specify,Please specify,
1_4_5_7_other ,,Thank you for letting me know! ,Thank you for letting me know! ,
1_5_san,,"Sanitation and hygiene is an important area that drastically affects a child’s growth. I can provide you information regarding it on the following topics: 
1) Importance of maintaining good hygiene and sanitation 
2) How poor sanitation can make [child’s name] sick?
3) What is diarrhea 
4) Main causes of diarrhea 
5) Care needed for the child when they have diarrhea 
6) Disposal of child feces 
7) Washing hands 
8) Usage and cleaning of baby bottles and toys
","Sanitation and hygiene is an important area that drastically affects a child’s growth. Here's a list of things I can provide information on. Please enter the number of the topic you want information on: 
1) Importance of maintaining good hygiene and sanitation 
2) How poor sanitation can make [child’s name] sick?
3) What is diarrhea 
4) Main causes of diarrhea 
5) Care needed for the child when they have diarrhea 
6) Disposal of child feces 
7) Washing hands 
8) Usage and cleaning of baby bottles and toys
",
1_5_1_imp,,"Children are more likely to attract flies, who cause a lot of diseases, when they are left with poor hygienic conditions, for instance, babies with runny nose or suffering from diarrhea. Moreover, babies inactive at the time of sleep or due to sickness also attract flies.Which is why when we talked previously, we emphasized on the importance of the baby being active. It is also very important that you do not practice open defecation nor do you teach your child to do so since the same is a cause of several diseases and other dangers. ",,
1_5_2_sick,,"Nutritional status is compromised where people are exposed to high levels of infection due to unsafe and insufficient water supply and inadequate sanitation. In secondary malnutrition, people suffering from diarrhoea will not benefit fully from food because frequent stools prevents adequate absorption of nutrients. Worldwide, malnutrition affects one in three people and each of its major forms dwarfs most other diseases globally (WHO, 2000). Malnutrition affects all age groups, but it is especially common among those with inadequate access to health education and to clean water and good sanitation. Which is why it is extremely important that you take care of the sanitation and hygiene of not just [child’s name] but the entire family. ","Unsafe and insufficient water supply and inadequate sanitation can compromise with the nutritional status of the child. People suffering from diarrhoea will not benefit fully from food because frequent stools prevents adequate absorption of nutrients. This can lead to malnutrition. \n

Malnutrition affects all age groups, but it is especially common among those with inadequate access to health education and to clean water and good sanitation. Which is why it is extremely important that you take care of the sanitation and hygiene of not just [child’s name] but the entire family. ",
1_5_3_diadef,,Diarrhea is defined as 3 or more watery stools in a day.,You child [child's name] migh have diarrhea if they get 3 or more watery stools in a day.,
1_5_4_diacause,,Diarrhea can be a sign of poor sanitation and hygiene 💧. You can take steps to prevent [child name] from getting diarrhea in the future by maintaining good sanitation and hygiene practices in your home. ,,
1_5_5_diacare,,"Since diarrhea causes a loss of a lot of nutrients from the body of the child, it is important therefore that the same is replenished and compensated for. If the child has diarrhoea you should give them ORS and breastfeed the child more than usual to maintain their strength. ORS is available at any medical store and also with your AWW. Unless told by a doctor, you should not give them anything else, not even water!",,
1_5_6_feces,,"An important component of maintaining sanitation and hygiene is the safe disposal of child feces since the same could be a breeding ground for flies, scavengers etc. Children are more susceptible to fecal pathogens than adults due to their habits.  While crawling or playing, children may put contaminated fingers, pica or fomites into their mouth. The safest way is to dispose the fecal matter in a toilet/latrine. All other methods are considered unsafe.  Problems associated with open defecation include serious respiratory issues, stomach illness (Typhoid and Jaundice), and malaria apart from diarrhea. ","An important component of maintaining sanitation and hygiene is the safe disposal of child feces since the same could be a breeding ground for flies, scavengers etc. While crawling or playing, children may put contaminated fingers, pica or fomites into their mouth. The safest way is to dispose the fecal matter in a toilet/latrine. All other methods are considered unsafe.  Problems associated with open defecation include serious respiratory issues, stomach illness (Typhoid and Jaundice), and malaria apart from diarrhea. ",
1_5_7_handwashing,,"Hands should be washed on a regular basis, especially after using the washroom/changing the baby's diaper and before breastfeeding the child. Also, breasts should be wiped before breastfeeding the child. Using soap is a simple way to prevent the spread of infection and to keep you and your baby healthy 👶🏽. You might want to place a bar of soap next to all water sources in your house to make it easier to wash your hands with soap every time. ","Hands should be washed on a regular basis, especially after using the washroom/changing the baby's diaper and before breastfeeding the child. Also, breasts should be wiped before breastfeeding the child. Using soap is a simple way to prevent the spread of infection and to keep you and your baby healthy 👶🏽. Keep the soap next to all water sources in your house to make it easier to wash your hands with soap every time. ",
1_5_8_toys,,"Did you know that using a baby bottle to feed your child can actually make them sick? 🍼 Bottles are difficult to clean thoroughly, so germs can unintentionally be transferred to your child. It is recommended by many experts to stop all bottle feeding and switching to exclusive breastfeeding to avoid unintended sickness for your baby 🤱🏽. 
While babies are young, they often put things in their mouths while they are playing 👶🏽. It's important to keep these objects clean and sanitized so they don't transfer germs to the baby while playing. ",,
1_6_gm,,"Growth monitoring is a widely used method to determine the nutrition status of a child i.e. to find out whether the child is malnourished or not. I am eager to provide you information on the same. Things I can tell you about are: 
1) Importance of getting your child weighed by the AWW
2) Importance of nutrition status and its knowledge with respect to your child 
3) Explanation with sample pictures of GM chart 
4) Meaning of the two axes 
5) How to determine the nutritional status through color
6) Meaning of the different colors in the GM chart 
7) Direction of line in the GM chart 
8) Quick quiz 
9) GM counselling for your child ","Growth monitoring is a widely used method to determine the nutrition status of a child i.e. to find out whether the child is malnourished or not. I am eager to provide you information on the same. Here's a list of things I can provide information on. Please enter the number of the topic you want information on:
1) Importance of getting your child weighed by the AWW
2) Importance of nutrition status and its knowledge with respect to your child 
3) Explanation with sample pictures of GM chart 
4) Meaning of the two axes in the GM chart
5) How to determine the nutritional status through color
6) Meaning of the different colors in the GM chart 
7) Direction of line in the GM chart 
8) Quick quiz 
9) GM counselling for your child ",
1_6_1_weighingimp,,You should talk to [AWW name] and get [child’s name]'s height and weight measured every month. It is extremely useful to find out the nutrition status of the child. Your AWW is able to use this information with the help of growth charts to identify the nutrition status of your child and provide counselling on how to maintain or improve the nutrition status. It can also help her recognize early signs of faltering nutritional status and take action immediately.,,
1_6_2_nutritionimp,,We use nutrition status to compare your child’s growth to expected growth for all children of your child’s age. This allows us to see whether your child is growing normally or could use extra support. ,The nutrition status is used to compare your child’s growth to expected growth for all children of your child’s age. This allows us to see whether your child is growing normally or could use extra support. ,
1_6_3_gmchart,gmchart_boy.jpg,"This is known as a Growth Monitoring chart. Every month, your AWW based on the age of your child and their weight, marks a point of the graph. Over a period of time this takes shape of a line that will indicate the nutrition status of your child. The straight line shows the weight which increases as you go upwards and the flat line shows the age which increases as you move right. ",,
1_6_3_gmchart,gmchart_girl.jpg,This is a growth chart too!,,
1_6_4_gmaxes,gmchart_axes.png,This picture indicates what the two axes mean!,,
1_6_5_color,,"According to nutrition specialists, there are 3 different categories that denote the weight for age or essentially the weight your child should have at a particular which are shown in the graph through the green, yellow and red color. Each category shows a different nutritional status and requires a different level of action on your part as the mother to either improve or maintain the child’s nutrition status. ","According to nutrition specialists, there are 3 different categories that denote the weight for age or essentially the weight your child should have at a particular age which are shown in the graph through the green, yellow and red color. Each category shows a different nutritional status and requires a different level of action on your part as the mother to either improve or maintain the child’s nutrition status. ",
1_6_6_colormeaning,,"RED- if the weight of your child is in this color, it means that (s)he is severely underweight and needs your immediate attention. 
YELLOW- if the weight of your child is in this color, it means that (s)he is underweight and needs your attention. 
GREEN- if the weight of your child is in this color, it means that (s)he is currently in the appropriate weight range and you should continue taking good care of them and addressing their nutritional needs. 
",,
1_6_7_gmline,,"If the line moves upwards then the child is growing in a healthy way, but if the line is flat it means that the child’s growth is slow (not happening?) and if the line is going downwards the child needs attention.",,
1_6_8_gmquiz,gmquiz.png,"Below is a picture showing the GM of 3 children of the same age. Based on this question you can send your answer by giving the number assigned to the child in the picture, 1, 2 or 3:","Below is a picture showing the GM of 3 children of the same age. Based on this question you can send your answer by giving the number assigned to the child in the picture, 1, 2 or 3:",
1_6_8_gm_quiz_normal,,"Based on the growth chart, can you tell which child is showing normal growth? You can tell the number given to the child, 1, 2 or 3.","There are three different children that are marked in the growth chart below. Based on the growth chart, can you tell which child is showing normal growth? You can type your answer by writing 1, 2 or 3 depending on your response. ",
1_6_8_gm_quiz_normal 1,,That's correct! Child 1 is showing normal growth based on his growth chart.,That's correct! Child 1 is showing normal growth based on his growth chart.,
1_6_8_gm_quiz_normal 2,,I'm sorry but that is the incorrect answer! Child 2 is not showing normal growth.,I'm sorry but that is the incorrect answer! Child 2 is not showing normal growth. Add right answer,
1_6_8_gm_quiz_normal 3,,I'm sorry but that is the incorrect answer! Child 3 is not showing normal growth.,I'm sorry but that is the incorrect answer! Child 3 is not showing normal growth.  Add right answer,
1_6_8_gm_quiz_mn,,"Which child is suffering from malnutrition? You can tell the number given to the child, 1, 2 or 3.
You can scroll up to see the picture again!","Which child is suffering from malnutrition? You can tell the number given to the child, 1, 2 or 3.
You can scroll up to see the picture again!",
1_6_8_gm_quiz_mn 1,,I'm sorry but that is the incorrect answer! Child 1 is not suffering from malnutrition.,I'm sorry but that is the incorrect answer! Child 1 is not suffering from malnutrition. Add explanation to the right answer. ,
1_6_8_gm_quiz_mn 2,,That's correct! Child 2 is suffering malnutrition based on his growth chart. He lies in the yellow zone!,That's correct! Child 2 is suffering malnutrition based on his growth chart. He lies in the yellow zone!,
1_6_8_gm_quiz_mn 3,,I'm sorry but that is the incorrect answer! Child 3 is not suffering from just malnutrition.,I'm sorry but that is the incorrect answer! Child 3 is not suffering from just malnutrition. Add explanation to the right answer. ,
1_6_8_gm_quiz_smn ,,"Which child is suffering from severe malnutrition? You can tell the number given to the child, 1, 2 or 3.
You can scroll up to see the picture again!","Which child is suffering from severe malnutrition? You can tell the number given to the child, 1, 2 or 3.
You can scroll up to see the picture again!",
1_6_8_gm_quiz_smn 1,,I'm sorry but that is the incorrect answer! Child 1 is not suffering from severe malnutrition.,I'm sorry but that is the incorrect answer! Child 1 is not suffering from severe malnutrition. Same as above.,
